Gender,Business,Dependancies,Calls,Type,Billing,Rating,Age,Salary,Base_pay,Bonus,Unit_Price,Volume,openingbalance,closingbalance,low,Unit_Sales,Total_Sales,Months,Education
Female,0,No,Yes,Month-to-month,No,Yes,18,5089,2035.6,254.45,3.77,21226600,3.75,3.76,3.65,18.25,18.8,0,High School or less
Female,0,No,Yes,Month-to-month,No,Yes,19,5698.12,2279.248,284.906,3.74,10462800,3.85,3.68,3.65,18.4,18.85,0,High School or less
Male,0,No,Yes,Month-to-month,Yes,No,22,5896.65,2358.66,294.8325,3.89,18761000,4.23,4.29,3.72,18.7,18.9,0,High School or less
Female,1,No,Yes,Month-to-month,Yes,Yes,21,6125.12,2450.048,306.256,4.35,66130600,4.26,4.31,3.83,18.75,19,0,High School or less
Male,0,No,Yes,Month-to-month,Yes,Yes,23,6245,2498,312.25,4.34,26868200,4.79,4.41,4.08,18.8,19.05,1,High School or less
Male,0,No,Yes,Two year,Yes,No,23,6444.23,2577.692,322.2115,4.37,29869600,5.88,5.04,4.13,18.8,19.1,1,High School or less
Male,0,Yes,No,Two year,Yes,No,23,6455.5,2582.2,322.775,4.42,25239200,6.09250025,5.59,4.15,18.8,19.1,1,High School or less
Female,0,No,Yes,One year,Yes,No,24,6458.35722,2583.342888,322.917861,4.44,28307500,6.1,5.67,4.21,18.8,19.15,1,Intermediate
Female,1,No,Yes,Month-to-month,Yes,Yes,24,6529.23,2611.692,326.4615,4.45,24295600,6.15,6.17,4.27,18.85,19.2,1,Intermediate
Male,0,No,Yes,Month-to-month,Yes,No,43,6682.33,2672.932,334.1165,4.41,17671600,6.26,6.09499975,4.22,18.85,19.2,1,Intermediate
Male,1,Yes,Yes,Two year,Yes,No,44,6698.2,2679.28,334.91,5.37,25212000,6.34,6.03000025,4.71,18.85,19.2,1,Intermediate
Male,0,No,Yes,One year,No,No,27,6827.098756,2730.839503,341.3549378,4.94,9837300,7.27,6.090373674,4.66,18.85,19.2,1,Intermediate
Male,0,No,Yes,Two year,Yes,No,28,6916.32,2766.528,345.816,5.43,14033400,7.31,6.18,5.05,18.9,19.25,1,Intermediate
Male,0,No,Yes,Month-to-month,Yes,No,28,6980.23,2792.092,349.0115,5.15,7870300,7.518571429,6.13,4.96,18.95,19.3,1,Intermediate
Female,1,No,Yes,Month-to-month,Yes,No,28,6986.52,2794.608,349.326,5.5,16400500,7.528571571,6.15999975,5.02,18.95,19.3,1,Intermediate
Female,0,No,Yes,Month-to-month,No,Yes,28,7125.32,2850.128,356.266,5.23,10952900,8.63,6.25,4.94,18.95,19.4,1,Intermediate
Female,0,No,Yes,Two year,Yes,No,29,7129.25,2851.7,356.4625,5.38,16597900,8.85,6.49,5,18.95,19.4,1,Intermediate
Female,0,Yes,No,One year,No,No,29,7337.284326,2934.913731,366.8642163,5.43,12760000,8.91,6.715000167,5.06,18.95,19.4,1,Intermediate
Male,0,No,Yes,Month-to-month,No,No,30,7376.175948,2950.470379,368.8087974,5.61,23691300,8.916040384,6.741666833,5.36,19,19.45,1,Intermediate
Female,0,No,Yes,Month-to-month,No,No,30,7420.575166,2968.230067,371.0287583,5.47,11754800,9.03,7.16,5.33,19,19.45,1,Intermediate
Female,0,No,No,Month-to-month,No,Yes,30,7529.3,3011.72,376.465,5.71,12767100,9.675925926,7.278571571,5.41,19,19.45,1,Intermediate
Male,0,No,Yes,Month-to-month,Yes,No,31,7585,3034,379.25,5.73,7807700,9.78,7.617142714,5.5,19,19.45,1,Intermediate
Male,0,No,Yes,Month-to-month,Yes,Yes,31,8295.723211,3318.289285,414.7861606,5.69,22415300,9.87,7.45,5.55,19,19.45,1,Intermediate
Female,0,Yes,Yes,One year,No,No,32,8661.76534,3464.706136,433.088267,5.84,10985300,9.88,7.604285714,5.43,19.05,19.45,1,Intermediate
Female,0,Yes,Yes,Month-to-month,No,Yes,33,8777.190015,3510.876006,438.8595008,6.22,41430700,10.0299995,7.66,5.62,19.05,19.5,1,Intermediate
Male,0,Yes,No,Two year,No,No,33,8795.4,3518.16,439.77,5.97,14901600,10.04,7.639999857,5.65,19.05,19.5,1,Intermediate
Male,0,No,Yes,Month-to-month,Yes,Yes,33,8954.12,3581.648,447.706,6.19,16660800,10.2299995,7.8,5.88,19.05,19.5,1,Intermediate
Female,0,No,Yes,Month-to-month,No,No,34,9185.697963,3674.279185,459.2848982,15.13,15739300,10.4,8.468689743,5.84282947,19.05,19.5,1,Intermediate
Male,0,No,No,One year,Yes,No,34,9392.57375,3757.0295,469.6286875,15.24,7952100,10.45,8.453270242,5.874263654,19.05,19.55,1,High School or less
